UNKNOWN
version=1
nRows=73
nColumns=5
inDegrees=no
endheader
time	time	hip_flexion_r	knee_angle_r	ankle_angle_r
      0.00000000	      0.40000000	     20.01810174	    -54.91982332	      2.56726654
      1.00000000	      0.41666667	     20.47637723	    -50.00708685	      2.56576991
      2.00000000	      0.43333333	     20.79106998	    -44.62673232	      2.44857079
      3.00000000	      0.45000000	     20.59068147	    -38.76975241	      2.15268517
      4.00000000	      0.46666667	     20.54892710	    -32.63493150	      1.68329550
      5.00000000	      0.48333333	     19.88677694	    -25.85626178	      1.07960813
      6.00000000	      0.50000000	     19.29340437	    -19.14776529	      0.53667974
      7.00000000	      0.51666667	     18.74544079	    -12.83865190	      0.18632341
      8.00000000	      0.53333333	     18.19344446	     -7.21155133	      0.16416180
      9.00000000	      0.55000000	     17.72372645	     -2.56806801	      0.37802896
     10.00000000	      0.56666667	     17.63128857	      0.38825987	      0.88102173
     11.00000000	      0.58333333	     17.74833716	      1.89627968	      1.19404981
     12.00000000	      0.60000000	     17.97079785	      1.81803755	      1.37656140
     13.00000000	      0.61666667	     18.60892857	      0.12192559	      1.12259908
     14.00000000	      0.63333333	     19.29527419	     -2.57059783	      0.46117583
     15.00000000	      0.65000000	     20.08813956	     -5.74039131	     -0.54851120
     16.00000000	      0.66666667	     20.78989355	     -8.91882957	     -1.64408804
     17.00000000	      0.68333333	     21.44000176	    -12.52018521	     -2.21826128
     18.00000000	      0.70000000	     21.52044497	    -15.84587402	     -2.21774772
     19.00000000	      0.71666667	     21.12066465	    -18.23977599	     -2.07785038
     20.00000000	      0.73333333	     20.84985462	    -20.41878653	     -1.61229213
     21.00000000	      0.75000000	     20.13267105	    -21.75872044	     -0.94072087
     22.00000000	      0.76666667	     19.44668490	    -22.75865231	      0.04956729
     23.00000000	      0.78333333	     18.50691499	    -23.07676626	      0.96059097
     24.00000000	      0.80000000	     17.41384468	    -23.23932048	      2.02663908
     25.00000000	      0.81666667	     15.85375835	    -22.62534320	      2.85633049
     26.00000000	      0.83333333	     14.28025803	    -21.99217191	      3.67018796
     27.00000000	      0.85000000	     12.48261686	    -20.92118167	      4.26038611
     28.00000000	      0.86666667	     10.65247567	    -19.97737409	      4.83959558
     29.00000000	      0.88333333	      8.83184480	    -18.59517575	      5.21586983
     30.00000000	      0.90000000	      6.83266332	    -17.27319339	      5.57631154
     31.00000000	      0.91666667	      5.01331390	    -15.92160998	      5.84677829
     32.00000000	      0.93333333	      3.08625197	    -14.37086773	      5.99996081
     33.00000000	      0.95000000	      1.89281683	    -13.61881000	      6.43528559
     34.00000000	      0.96666667	      0.56775533	    -12.63147032	      6.72828954
     35.00000000	      0.98333333	     -1.41037472	    -11.33590755	      6.93690926
     36.00000000	      1.00000000	     -2.82540871	    -10.65363268	      7.35030533
     37.00000000	      1.01666667	     -4.27623510	     -9.89860598	      7.74543059
     38.00000000	      1.03333333	     -5.79700882	     -8.95326925	      8.03344306
     39.00000000	      1.05000000	     -7.39397466	     -8.12212033	      8.33189925
     40.00000000	      1.06666667	     -8.65078118	     -7.41514714	      8.65543575
     41.00000000	      1.08333333	    -10.03790436	     -6.65564235	      9.02012920
     42.00000000	      1.10000000	    -11.47191303	     -5.80325962	      9.30768397
     43.00000000	      1.11666667	    -12.79549323	     -5.20935201	      9.74605143
     44.00000000	      1.13333333	    -14.03426232	     -4.92745106	     10.30386954
     45.00000000	      1.15000000	    -15.62397211	     -4.53453823	     10.77168837
     46.00000000	      1.16666667	    -17.13341139	     -4.10081468	     11.21519338
     47.00000000	      1.18333333	    -18.52147277	     -4.17904165	     11.73730688
     48.00000000	      1.20000000	    -19.72502869	     -4.14597435	     12.09928502
     49.00000000	      1.21666667	    -20.67785312	     -4.91881745	     12.60016896
     50.00000000	      1.23333333	    -21.43848547	     -5.94102045	     13.03880048
     51.00000000	      1.25000000	    -21.87434024	     -7.35410271	     13.36028750
     52.00000000	      1.26666667	    -21.97879071	     -9.22779942	     13.61614313
     53.00000000	      1.28333333	    -21.51475794	    -11.94096706	     13.68915956
     54.00000000	      1.30000000	    -21.20859110	    -14.57990935	     13.24509978
     55.00000000	      1.31666667	    -20.57789408	    -18.23647971	     12.49192066
     56.00000000	      1.33333333	    -19.52073956	    -22.73438275	     11.17121471
     57.00000000	      1.35000000	    -18.18191078	    -27.97893654	      8.95848825
     58.00000000	      1.36666667	    -16.08713946	    -33.92933000	      5.70937769
     59.00000000	      1.38333333	    -13.32938654	    -40.23167879	      1.54837825
     60.00000000	      1.40000000	    -10.28908672	    -46.25778699	     -2.98882342
     61.00000000	      1.41666667	     -7.48319622	    -51.56574244	     -6.90344554
     62.00000000	      1.43333333	     -4.42401834	    -56.57592529	     -8.99772574
     63.00000000	      1.45000000	     -1.58952916	    -60.85880878	     -9.09737666
     64.00000000	      1.46666667	      0.84027602	    -63.98369783	     -7.78777673
     65.00000000	      1.48333333	      3.22278648	    -66.63487296	     -5.70612541
     66.00000000	      1.50000000	      5.71924436	    -68.47294356	     -3.55700464
     67.00000000	      1.51666667	      7.90755693	    -69.41954093	     -1.74128953
     68.00000000	      1.53333333	      9.97479930	    -69.56691421	     -0.37145918
     69.00000000	      1.55000000	     12.35422220	    -69.21167778	      0.62027853
     70.00000000	      1.56666667	     13.99907905	    -67.72523920	      1.22241499
     71.00000000	      1.58333333	     15.73939687	    -65.68745784	      1.62318511
     72.00000000	      1.60000000	     17.10246448	    -62.85809655	      1.89605611
